title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Banditry, Katsina","Many persons were killed when about 100 armed bandits raided a village. Several other persons were abducted along with their animals by the marauding bandits. Due to the nature of the story, it is assumed that 20 persons died.",2019-05-01T23:00:00.000Z,Dagwarwa village,20,crime,"Other newspaper 3 (20 ) , Daily Trust (19 )",Safana
"Fulani Herdsmen Attack, Adamawa","6 persons were killed by Fulani herdsmen who stormed some villages. It was reported that the assailants invaded the village in a reprisal attack. The victims were identified as a man known as Baba Zibion, Baba El-Nathan (a blind man) and three others who were youths.",2019-05-01T23:00:00.000Z,Girei,6,"cattle grazing, land issue","The Punch (6 ) , Independent (5 )",Girei
"Boko Haram Suicide Bombers, Borno","A missionary hospitals was targeted for bombing by Boko Haram. Though scores of people were wounded, only the 3 attackers were reported dead. This event is backdated by a week since the incident took place last week.",2019-05-01T23:00:00.000Z,Molai,3,"political issue, religious issue",Other newspaper 3 (3 ),Maiduguri
"Banditry, Zamfara","About 30 persons were killed by bandits who invaded 4 villages. It was reported that the hoodlums burnt several houses, carting away household items and animals.",2019-05-01T23:00:00.000Z,Gusau,33,crime,"Other newspaper 3 (30 ) , The Punch (35 )",Gusau
"Cattle Rustlers, Zamfara",Seven cattle rustlers were killed by mob at Emir’s palace. The cattle rustlers came with DSS personnel to the Emir’s palace to negotiate the release of their cows seized by the army during an operation in a forest.,2019-05-01T23:00:00.000Z,Birnin Magaji,7,crime,"Daily Trust (7 ) , Nigerian Tribune (7 ) , The Punch (6 )",Birnin Magaji Kiyaw
"Fulani Herdsmen Vs Farmers, Ogun",4 persons were killed in a clash between Fulani herdsmen and farmers. The clash broke out when the herdsmen made their cattle drink from the community stream and polluted it.,2019-05-01T23:00:00.000Z,Iwoye Ketu area,4,"cattle grazing, land issue","Daily Trust (4 ) , Other newspaper 2 (4 ) , Other newspaper 3 (4 )",Imeko-Afon
"Boko Haram Attack, Borno",Boko Haram militants killed 14 men who were collecting firewood. The bodies were found with bullet wounds. The victims were among thousands of people sheltering in camps in the town.,2019-04-29T23:00:00.000Z,Duwabayi village near the garrison town,14,"political issue, religious issue","Vanguard (14 ) , Web Newspaper (14 ) , Other newspaper 2 (14 )",Monguno
"Militia vs Fulani Herdsmen, Plateau","Shehu Saedu, a herder, was killed and another person was declared missing during an attack by a militia. The attackers also rustled and killed over 300 cows.",2019-04-29T23:00:00.000Z,Kwal,1,"cattle grazing, land issue","Daily Trust (1 ) , The Nation (1 )",Bassa (Plateau)
"Bandits Attack, Katsina",15 residents were killed by bandits during a raid on 2 villages. Unspecified number of houses were razed.,2019-04-29T23:00:00.000Z,Gobirawa and Sha Ka Wuce villages,14,crime,"Daily Trust (15 ) , Vanguard (17 ) , Other newspaper 2 (10 )",Safana
"Boko Haram Attack, Adamawa",26 persons were killed and many others were critically injured by members of the Boko Haram group. The incident happened when the terrorists invaded a village in the night.,2019-04-28T23:00:00.000Z,Kudakaya village,26,"religious issue, political issue","Other newspaper 3 (26 ) , The Punch (26 ) , Daily Trust (26 ) , Other newpapers 1 (25 )",Madgali
"Bandits, Katsina","80-year-old man, Mai Unguwa Duwa, was killed, while 48-year-old Bishir was shot when bandits, numbering about 50 on motorcycles, sporadically shot at villagers.",2019-04-27T23:00:00.000Z,Guzurawa village,1,crime,Daily Trust (1 ),Safana
"Gunmen Attack, Plateau","Unknown gunmen hacked down a lawmaker, Sinimbalia Maigida and his 65-year-old father, Titus Maigida. It was reported that the killing could be a reprisal attack for the killing of 2 Fulani persons as captured in IBD016392.",2019-04-26T23:00:00.000Z,Kanam,2,crime,The Guardian (2 ),Kanam
"Boko Haram vs Soldiers, Borno","About 50 soldiers were reportedly killed in a surprise Boko Haram attack on a village. Weapons were also carted away. However, a military source confirmed the attack but denied of any fatality.",2019-04-26T23:00:00.000Z,Sabon Gari,50,"political issue, religious issue",This Day (50 ),Biu
"Banditry, Kaduna",2 persons were killed by bandits who have been attacking some villages. It was reported that the bandits also wounded some people and carted away cows and grains.,2019-04-26T23:00:00.000Z,Kagi and Kugu communities,2,crime,"Nigerian Tribune (2 ) , Other newspaper 3 (2 )",Birnin-Gwari
"Army vs Bandits, Zamfara","The Nigerian Air Force (NAF) Operation Diran Mikiya killed 20 bandits during a clearance operation where the camp of major kingpin, Alhaji Lawal, was raided.",2019-04-25T23:00:00.000Z,Rugu Forest,20,crime,"Other newpapers 1 (20 ) , This Day (20 ) , Daily Trust (20 )",Zurmi
"Army vs Boko Haram, Borno",The Nigerian Air Force killed scores of Boko Haram terrorists during an aerial bombardment. It was also reported that they destroyed the terrorists' vehicles and workshops.,2019-04-23T23:00:00.000Z,Sambisa Forest,40,"political issue, religious issue","Vanguard (40 ) , Other newpapers 1 (40 ) , Other newspaper 3 (40 )",Gwoza
"Boko Haram, Borno",The Multi-National Joint Task Force (MNJTF) killed 3 members of Boko Haram who tried to attack a military location.,2019-04-22T23:00:00.000Z,Cross Kauwa,3,"religious issue, other accident",Other newspaper 2 (3 ),Kukawa
"Army vs Bandits, Benue",5 bandits were killed by troops of the 72 Special Forces Battalion.The suspected armed militia were killed in a gun duel.,2019-04-22T23:00:00.000Z,Katsina-Ala,5,,"Independent (5 ) , Vanguard (5 )",Katsina-Ala
"Army vs Bandits, Zamfara","10 armed bandits were killed by the Nigerian Air Force (NAF) during an aerial bombardment. The bandits, who shot at the Air Force jets, were killed when the Air Force unleashed fire power through its 2 Alpha jets and an attack helicopter on them.",2019-04-22T23:00:00.000Z,Sububu Forest,10,crime,"Daily Trust (10 ) , This Day (10 ) , The Punch (10 )",Maradun
"Assailants vs Fulani Herdsmen, Bauchi","Unidentified assailants killed 10 member of the Miyetti Allah Cattle Breeders Association of Nigeria (MACBAN). It was reported that the corpse of the Fulani men were found with either machete cut, bullet wounds or both.",2019-04-20T23:00:00.000Z,Bauchi,10,crime,Daily Trust (10 ),Bauchi LGA
"Army vs Cattle Rustlers, Plateau",A cattle rustler was killed by troops of the Nigerian Army belonging to the Operation Safe Haven.290 cattle were recovered from rustlers after the operation.,2019-04-19T23:00:00.000Z,Dogo Na Hauwa community,1,crime,Daily Trust (1 ),Jos South
"Fulani Herdsmen Attack, Adamawa",13 persons were killed by Fulani herdsmen. It was reported that the incident happened when the herders invaded a community.,2019-04-19T23:00:00.000Z,Bolon community,13,"land issue, cattle grazing",Independent (13 ),Numan
"Soldiers vs Bandits, Taraba",2 bandits were killed by soldiers on anti-banditry operations. The soldiers were on a fighting patrol when they came in contact with the victims.,2019-04-18T23:00:00.000Z,Along Nagi-UCheki-Audu-Enger-Adudu axis,2,crime,"Other newpapers 1 (2 ) , Vanguard (2 )",Gwer West
"Army vs Bandits, Zamfara",Troops of the Nigerian Army killed seven bandits during a gunfight with hoodlums. The troops encountered the bandits while on a clearance operation.,2019-04-17T23:00:00.000Z,Aljumana Fulani and Ketere villages,7,crime,"The Punch (7 ) , The Guardian (7 ) , The Nation (8 )",Gusau
"Soldiers vs Boko Haram, Borno",39 Boko Haram terrorists were killed by the Multi-national Joint Task Force (MNJTF) during a gun duel. 20 soldiers were reportedly injured in the operation.,2019-04-16T23:00:00.000Z,"Tunbum Rege, an island in Lake Chad",39,"political issue, religious issue","The Nation (39 ) , Vanguard (39 ) , This Day (39 ) , The Guardian (39 )",Gwoza
"Fulani Herdsmen Attack, Adamawa",4 people including an elderly couple and their 2 granddaughters were killed during a raid by Fulani herdsmen. The attackers also burnt over 100 houses.,2019-04-16T23:00:00.000Z,Bolon town,4,"cattle grazing, land issue","Other newpapers 1 (4 ) , The Nation (4 )",Demsa
"Policemen vs IPOB, Delta",A member of the indigenous people of Biafra (IPOB) was killed during a clash with policemen.The police opened fire on the protesters and the bullet hit one of them.,2019-04-15T23:00:00.000Z,Delta,1,political issue,"Other newspaper 2 (1 ) , The Nation (1 )",Oshimili North
"Army vs Bandits, Zamfara",The Nigerian Air Force (NAF) special forces on anti-banditry operations killed two bandits while several others fled with gunshots wounds. The bandits were killed when they attempted to gather around some villages.,2019-04-16T23:00:00.000Z,Rafi and Doka villages of Mada District,2,crime,"Other newpapers 1 (2 ) , The Punch (3 ) , This Day (2 )",Gusau
"Troops kill 27 Boko Haram, Borno",27 Boko Haram terrorists were killed by troops from Nigeria and Cameroon. It was reported that the terrorists were attacked during joint clearance operations.,2019-04-14T23:00:00.000Z,"Wulgo, Tumbuma, Chikun Gudu and Bukar Maryam villages",27,"religious issue, political issue","Nigerian Tribune (27 ) , The Punch (27 )",Ngala
"Herdsmen Attack, Ekiti","Fulani herdsmen invaded a community and killed two people. It was reported that the herders also injured three other persons with machetes. The incident happened in the midnight. One of the victims was identified as Mr Danjuma Ali, a Muslim farmer and a severn-year-old boy.",2019-04-14T23:00:00.000Z,Ede in Iyemero-Ekiti,2,"cattle grazing, land issue","Other newspaper 3 (2 ) , Vanguard (2 ) , Daily Trust (2 )",Ikole
"NAF vs Bandits, Zamfara",NAF bombarded bandit's logistics base and killed 4 bandits in the process. The strike followed credible information that the bandits had relocated to the village with their logistic items.,2019-04-13T23:00:00.000Z,Kagara forests,4,crime,"Other newpapers 1 (4 ) , This Day (4 )",Gusau
"Fulani Herdsmen Attack, Nasarawa",A pregnant woman and 15 other persons were shot dead by Fulani herdsmen. It was reported that the victims were in a naming ceremony when the attackers stormed the community. Among the victims were Mr and Mrs Adebayo John.,2019-04-13T23:00:00.000Z,Numa village,17,"cattle grazing, land issue","Other newspaper 3 (16 ) , Daily Trust (17 ) , This Day (16 ) , Other newpapers 1 (18 )",Akwanga
"Factory Workers, Lagos","3 factory workers, Amaechi Joseph, Adedayo Dauda and David Jasper died after they were accidentally splashed with liquid metal from a factory furnace while taking their bath.",2019-04-12T23:00:00.000Z,"African Foundries Ltd, Ogijo",4,other accident,"Other newpapers 1 (3 ) , The Punch (4 )",Ikorodu
"Police vs Bandits, Kaduna",9 bandits were shot dead by the police during a gunfight between the two. It was reported that the incident happened when the police stormed the hideout of the bandits. One policeman sustained gunshot wound.,2019-04-09T23:00:00.000Z,Akilbu forest,9,crime,"Daily Trust (9 ) , This Day (9 ) , The Punch (9 )",Birnin-Gwari
"Bandits vs Vigilantes, Katsina",18 people were killed during a clash between bandits and local vigilantes. Casualties were recorded no both sides. 6 of the corpses were identified as vigilantes.,2019-04-08T23:00:00.000Z,Tsamiyar Jino,18,crime,Daily Trust (18 ),Sabuwa
"Fulani Herdsmen Attack, Delta","Some Fulani herdsmen killed 4 persons including the father, mother and daughter. One of the victims was identified as Kennedy Ukuanovwe and he was shot dead by the herders while he was on his way home while riding on a motorbike.",2019-04-08T23:00:00.000Z,Abraka,4,"cattle grazing, land issue","Independent (4 ) , Vanguard (5 ) , The Nation (3 )",Ethiope East
"Soldiers vs Boko Haram, Yobe","Scores of Bomo Haram from the Islamic State's West Africa Province, ISWAP, were killed in an ambush. The terrorists had planned attacking some communities in the area. It is assumed about 2 scores of the terrorists lost their lives.",2019-04-08T23:00:00.000Z,Maisandari,40,"political issue, religious issue","The Punch (40 ) , The Nation (40 )",Damaturu LGA
"Army Kills 6 Bandits, Zamfara",6 people were killed by troops of the Nigerian Army. It was reported that the troops ambushed the bandits and engaged them in a shoot-out.,2019-04-08T23:00:00.000Z,Kirsa and Sunke villages,6,crime,The Punch (6 ),Anka
"Banditry, Zamfara",Scores of bandits were killed during air strikes by the Nigerian Air Force (NAF). The Air Force destroyed about eight camps belonging to the criminal elements.,2019-04-07T23:00:00.000Z,"Doumborou, Sububu, West Malamawa, Baturia Pond and Rugu Forests",40,crime,"Other newspaper 3 (40 ) , Other newpapers 1 (40 )",Zurmi
"Air Force, Zamfara",25 bandits were killed by Air Task Force (ATF) during attacks on bandit's logistic bases. The bandits were raided on 2 locations.,2019-04-07T23:00:00.000Z,Ajia and Wonaka,25,crime,"The Nation (25 ) , Vanguard (25 ) , Daily Trust (25 )",Birnin Magaji Kiyaw
"Fulani Herdsmen Attack, Kaduna",Fulani herdsmen attacked a community and murdered 20 residents. The victims were attacked with guns and machetes. Several residents were injured while fleeing the attackers.,2019-04-07T23:00:00.000Z,Ungwan Aku and Banono,21,"cattle grazing, land issue","The Punch (20 ) , Other newspaper 3 (21 ) , The Nation (21 ) , Vanguard (21 ) , Daily Trust (21 )",Kajuru
"Vigilante vs Bandits, Katsina",14 people died during a clash between vigilantes and bandits. Both groups suffered 7 victims respectively. This incident is backdated by 2 days since no date was reported.,2019-04-06T23:00:00.000Z,Tsamiyar Jino,25,crime,"Vanguard (14 ) , Daily Trust (36 )",Kankara
"Boko Haram Attack, Borno","5 persons, including 2 female suicide bombers, lost their lives in Boko Haram attack. The incident happened when the bombers detonated the bombs that were strapped to their bodies. 45 persons were injured in the attack.",2019-04-06T23:00:00.000Z,Muna Garage,7,"political issue, religious issue","The Guardian (5 ) , Independent (5 ) , Daily Trust (11 )",Jere
"Police vs Bandits, Kaduna",2 policemen and 3 bandits lost their lives during a shootout between the gunmen and the police. It was reported that the incident happened when the gunmen invaded a wedding ceremony. They also set some houses ablaze.,2019-04-05T23:00:00.000Z,Kakangi village,5,crime,"Other newspaper 3 (5 ) , Independent (5 ) , The Guardian (5 )",Birnin-Gwari
"Aircraftman, Borno","A member of an Air Force team that was actively involved in the fight against Boko Haram insurgency, Umaru Abdul Ganimu, was killed by a blade of the NAF helicopter. He was passing through the side of the functioning rotor when his head was chopped off.",2019-04-05T23:00:00.000Z,Bama,1,"other accident, political issue, religious issue","Vanguard (1 ) , Nigerian Tribune (1 )",Bama
"Fulani Herdsmen Attack, Anambra",Fulani herdsmen killed 6 persons in a farm settlement. The herders also burnt houses and raped women. 30 other persons were severely injured in the attack.,2019-04-05T23:00:00.000Z,"Agweopia Camp, Iyiogbu Camp and Iyinkolo",6,"cattle grazing, land issue","Other newpapers 1 (6 ) , Vanguard (6 ) , Daily Trust (6 )",Anambra West
"NAF vs Boko Haram, Borno",Scores (assuming at lest 2 scores) of terrorists from the Islamic State of West Africa Province (ISWAP) were killed by NAF. The victims had assembled under a tree for a meeting before they were hit.,2019-04-04T23:00:00.000Z,Tumbun Alpha,40,"political issue, religious issue",Other newpapers 1 (40 ),Abadam
"Boko Haram Attack, Borno","18 soldiers were killed when a faction of Boko Haram terrorists affiliated to Islamic State West Africa Province (ISWAP) attacked a military formation. Due to the nature of the incident, it is backdated by 2 days.",2019-04-03T23:00:00.000Z,Lake Chad area,18,"religious issue, political issue",The Guardian (18 ),Gwoza
"Gunmen Attack, Plateau","1 person was killed while three others were injured by unknown gunmen who attacked them in the night. The dead victim was identified as Mr. Mahan Ishaku (42 years) while the injured were given as Ahmadu Sale, Faiza Sale, and Ishaya Maju.",2019-04-02T23:00:00.000Z,Daffo Town,1,,"The Punch (1 ) , Vanguard (1 ) , Daily Trust (1 )",Bakkos
"Bandits, Zamfara",50 people have been killed by rampaging bandits. It was reported that members of Civilian joint task force mobilised people to confront the bandits in the forest which led to the killing of over 50 persons including CJTF members.,2019-04-01T23:00:00.000Z,Kaura Namoda,50,,"This Day (50 ) , The Punch (50 )",Kaura Namoda
"Herdsmen Attack, Benue","Fulani herdsmen killed 5 farmers. It was reported that the herders invaded the village in the night and killed Torkaa Gbim, Celina Tavershima, Ayilaga Tavershima, Sonter Tavershima and Terkaa Tavershima.",2019-04-01T23:00:00.000Z,Mondo Village,5,"cattle grazing, land issue","Other newspaper 3 (5 ) , Daily Trust (5 ) , The Punch (5 )",Logo
"Army vs Bandits, Zamfara",Special Forces of the Nigerian Air Force (NAF) killed 5 bandits and rescued 2 women and a child abducted by the gunmen.,2019-03-30T23:00:00.000Z,Sububu and Kagara forests,5,crime,The Punch (5 ),Gusau
"Bandits Attack, Zamfara",40 people mostly farmers were killed in 3 communities by bandits. The bandits on motorcycles invaded onion fields and shot the victims dead.,2019-03-30T23:00:00.000Z,"Kursasa, Kurya and Gidan Achali",40,crime,"Vanguard (40 ) , This Day (40 ) , Independent (40 )",Shinkafi
"Army vs Boko Haram, Borno","5 Boko Haram terrorists died during a clash with soldiers. While 3 of them were killed by soldiers, 2 others died after the vehicle conveying them went over a roadside bomb planted by the terrorists.",2019-03-28T23:00:00.000Z,Dono Naira and Ngolom,5,"political issue, religious issue",This Day (5 ),Kukawa
"Army vs Boko Haram, Borno","16 Boko Haram insurgents, including a commander known as Malloum Moussa, were killed by troops of the Multi-National Joint Task Force (MNJTF) during Operation Yanci Tafki. The incident happened during a clearance operation aimed at wiping out terrorists.",2019-03-28T23:00:00.000Z,Lake Chad,16,"political issue, religious issue","Daily Trust (16 ) , The Punch (16 ) , The Nation (16 )",Gwoza
"Herdsmen Attack, Benue",4 peasant farmers were killed by Fulani herdsmen who laid siege on a village. They shot their victims and ran away. Another farmer was severely wounded.,2019-03-28T23:00:00.000Z,"Ayilamo, Tombo council ward",4,"cattle grazing, land issue","Independent (4 ) , The Nation (4 )",Logo
"Fulani Herdsmen Attack, Kogi","3 farmers were killed by Fulani herdsmen who attacked them on their way from farm. The farmers were conveying their farm produce from the farm to their houses when they were gunned down. The victims are Samson Ajene, Adah Audu and Monday Ocho.",2019-03-26T23:00:00.000Z,Abejukolo-Bagana road,3,"cattle grazing, land issue","Independent (3 ) , Daily Trust (3 )",Omala
"Fulani Herdsmen, Nasarawa",A Mada lady was raped to death by Fulani herdsmen. The ladies where returning from a wedding ceremony when they were accosted by herdsmen. The incident caused Mada youths to kill a Fulani man and the Fulani people retaliated by killing another person. They also razed 20 houses.,2019-03-22T23:00:00.000Z,Andaha village,3,"cattle grazing, land issue","The Punch (2 ) , Other newspaper 3 (3 ) , Daily Trust (3 )",Akwanga
"Electoral Violence, Benue",1 person was killed during the re-run election. It was reported that the crisis started when political hoodlums came to came to disrupt the election.,2019-03-22T23:00:00.000Z,Benue,1,political issue,"Other newspaper 2 (1 ) , Web Newspaper (0 )",Ukum
"Bandits Kill Policeman, Zamfara",A policeman was killed by gunmen. It was reported that the bandits attacked their victims at the goldmine thereby killing the victim.,2019-03-20T23:00:00.000Z,Sunke,1,crime,Daily Trust (1 ),Anka
"Herdsmen Attack, Benue",10 residents were killed by Fulani herdsmen during a raid on a community. The victims were killed while sleeping outside their homes.,2019-03-18T23:00:00.000Z,Tser Uoreleegeb,10,"land issue, cattle grazing","Daily Trust (10 ) , Vanguard (10 )",Guma
"Soldiers vs Boko Haram, Adamawa",Scores of Boko Haram insurgents were killed during their attempt to infiltrate a town. It was also reported that 5 people were also killed during the insurgent's failed attack on a bank.,2019-03-17T23:00:00.000Z,Maikadiri village,23,"political issue, religious issue","Other newspaper 2 (5 ) , Nigerian Tribune (40 )",Michika
"Boko Haram Attack, Borno","Boko Haram members, running away from their base for safety, attack a community, destroyed some properties and killed 3 persons.",2019-03-17T23:00:00.000Z,Lassa town,3,"political issue, religious issue","This Day (3 ) , The Nation (3 )",Askira/Uba
"Communal Crisis, Cross River","A communal conflict between Ikwo community of Ebonyi State and Egbor, Ipene and Abanwan communities in Cross River state claimed 4 lives.The 2 villages where the victims were killed were razed by the attackers believed to have come from Ebonyi state.",2019-03-16T23:00:00.000Z,"Egbor, Ipene and Abanwan",5,land issue,"Vanguard (4 ) , Other newspaper 2 (4 ) , Other newspaper 3 (4 ) , The Punch (6 )",Biase
"Army vs Boko Haram, Borno",Troops of the Multi-National Joint Task Force killed several Boko Haram insurgents during a clearance operation targeted at wiping out the terrorists. The terrorists were killed by the firepower of the Air Force. Due to the nature of the story it is assumed that 20 persons were killed.,2019-03-11T23:00:00.000Z,Tumbun Rego Area on the Lake Chad fringes,32,"religious issue, political issue","Nigerian Tribune (20 ) , The Nation (40 ) , Vanguard (33 ) , Daily Trust (33 )",Marte
"Bandits vs Vigilantes, Kaduna","Armed bandits who entered into a village to rustle cows were chased back into the forest by vigilantes and in the process, 17 vigilante members were killed.",2019-03-11T23:00:00.000Z,Jan Ruwa Village,17,crime,"Independent (17 ) , Daily Trust (17 ) , The Guardian (17 )",Birnin-Gwari
"Banditry, Kaduna",22 persons were killed by armed bandits numbering about 80 who stormed a village. It was reported that the bandits invaded the village and shot sporadically.,2019-03-11T23:00:00.000Z,Hayin Gada village,14,crime,"The Nation (10 ) , This Day (10 ) , Daily Trust (22 )",Birnin-Gwari
"Army vs Bandits, Zamfara",55 bandits and 3 soldiers were killed when the troops attacked the bandits in their stronghold in order to rescue those who were abducted by them. Several other persons were injured.,2019-03-11T23:00:00.000Z,Kagara Forest,56,crime,"Nigerian Tribune (58 ) , The Punch (55 ) , The Nation (55 )",Bungudu
"Fulani Herdsmen Attack, Kaduna",81 persons were killed by Fulani herdsmen who attacked some communities. It was reported that the attackers also razed 43 houses and wounded several other persons.,2019-03-10T23:00:00.000Z,Ungwan Barde and Gamu villages,67,"cattle grazing, land issue","Other newspaper 3 (81 ) , The Guardian (52 )",Kajuru
"Banditry, Kaduna",2 persons were killed by armed bandits who invaded a village. The bandit ambushed and opened fire on some people who were travelling along a road.,2019-03-10T23:00:00.000Z,Dogo Dawa,2,crime,"The Nation (2 ) , This Day (2 )",Ikara
"Boko Haram Attack, Adamawa",2 suspected Boko Haram suicide bombers were killed in a botched attack. It was reported that the Improvised Explosive Device(IED) on them exploded midway into the operation.,2019-03-09T23:00:00.000Z,Shuwa,2,"crime, fire/explosion","Other newspaper 2 (2 ) , The Punch (2 )",Madgali
"Gunmen Attack, Kaduna",Over 100 persons were killed by Fulani herdsmen who attack some communities in the early hours of the day. It was reported that the attackers also burnt down 30 houses.,2019-03-09T23:00:00.000Z,"Inkimi, Iri, Dogonnoma in Ungwar Gambo",94,"land issue, cattle grazing","Independent (101 ) , Vanguard (86 )",Kajuru
"Political Crisis, Imo","Uchenna Agugua, who came back to Nigeria from Mozambique to vote, was killed on the Election Day following a mayhem caused by thugs.",2019-03-08T23:00:00.000Z,Amiyi community,1,political issue,"Vanguard (1 ) , Web Newspaper (1 )",Njaba
"Fulani Herdsmen Attack, Kaduna",10 persons were killed and about 30 houses burnt when Fulani herdsmen attacked a community.,2019-03-08T23:00:00.000Z,Nandu-Gbok,10,"cattle grazing, land issue","Other newspaper 2 (10 ) , The Punch (10 )",Sanga
"Election Crisis, Taraba","8 people were killed while 56 persons were injured as a result of the Governorship elections results that was announced, which resulted to a clash between rival party supporters.",2019-03-08T23:00:00.000Z,Jalingo,8,political issue,Independent (8 ),Jalingo
"Army vs Boko Haram, Borno",About 27 Boko Haram insurgents were killed during a clearance operation by the Multi-National Joint Task Force (MNJTF). It was reported that the MNJTF also destroyed six gun trucks belonging to the terrorists.,2019-03-08T23:00:00.000Z,Gueskerou,27,"political issue, religious issue","Other newpapers 1 (27 ) , This Day (27 ) , The Nation (27 )",Mobbar
"Army vs Boko Haram, Borno",About 23 Boko Haram insurgents were killed during a clearance operation by the Multi-National Joint Task Force (MNJTF). It was reported that the MNJTF troops recovered 20 AK-47 rifles and five anti-aircraft guns.,2019-03-08T23:00:00.000Z,Malam Fatori,20,"religious issue, political issue","Other newpapers 1 (23 ) , This Day (23 ) , The Nation (13 )",Abadam
"Bandits Kill 16, Kaduna",16 people were killed. It was reported that the attack followed the killing of a man identified as Danbuzu Nemi whose search led to the attackers trailing the search team to the village and killing people.,2019-03-08T23:00:00.000Z,Ungwan Barde,16,"cattle grazing, land issue","Daily Trust (16 ) , Vanguard (16 )",Kajuru
"Political Violence, Katsina","Some bandits killed a policeman, CPL Mannir Usman attached to Danmusa Division, and abducted 3 ad hoc staff of the Independent National Electoral Commission (INEC) during the governorship and House of Assembly elections.",2019-03-08T23:00:00.000Z,Dan Musa,1,political issue,"Other newpapers 1 (1 ) , Daily Trust (1 )",Dan Musa
"Political Violence, Katsina","An officer of the NSCDC, UmarAliyu, was killed by by some armed bandits who also kidnapped some INEC staff during the governorship election.",2019-03-08T23:00:00.000Z,Garagi ward,1,political issue,"Daily Trust (1 ) , Vanguard (1 )",Kankara
"Political Violence, Sokoto","2 policemen were killed by bandits. The victims were identified as Abdullahi Maisaje, an Assistant Superintendent of Police, and Sergeant Usman Ibrahim. The policemen were on their way to election assignment when they were ambushed.",2019-03-07T23:00:00.000Z,Isa,2,political issue,"The Punch (2 ) , This Day (2 )",Isa
"Bandits Kill 16, Zamfara",Suspected bandits killed 16 people on the eve of gubernitorial and house of assembly elections.,2019-03-07T23:00:00.000Z,Dumama community,16,political issue,Vanguard (16 ),Zurmi
"Bandits, Zamfara",Nigerian Army troops in collaboration with the Civilian Joint Task Force killed 20 armed bandits and recovered cache of arms and dozens of motorbikes.,2019-03-06T23:00:00.000Z,Gando village,20,crime,Daily Trust (20 ),Bukkuyum
"Boko Haram Landmine, Borno",5 farmers lost their lives when the truck conveying them and their produce was blasted by a landmine planted in the middle of the road. It was reported that 20 persons were also injured in the attack. It is assumed that the landmine was blasted by Boko Haram terrorists.,2019-03-05T23:00:00.000Z,Addamari near Maiduguri,5,"political issue, religious issue","The Punch (5 ) , This Day (5 )",Jere
"Boko Haram Attack, Borno",5 Boko Haram insurgents were killed by Troops of the Operation Lafiya Dole when members of the insurgents attacked a military formation.,2019-03-05T23:00:00.000Z,Near Ngwom village,5,"religious issue, political issue","Daily Trust (5 ) , The Guardian (5 )",Maiduguri
"Boko Haram attack, Borno",A Boko Haram terrorist was killed and one AK-47 rifle recovered when the terrorists engaged the troops in shooting.,2019-03-04T23:00:00.000Z,Kubu village,1,crime,"Daily Trust (1 ) , The Guardian (1 )",Shani
"Armed Bandits, Zamfara","Armed bandits and cattle rustlers killed 30 people when siege was laid on a community. Residential houses, shops and motorbikes were burnt.",2019-03-02T23:00:00.000Z,Kware community,33,crime,"Daily Trust (30 ) , Other newspaper 3 (35 )",Shinkafi
"Gunmen vs Cab Driver, Edo","A taxi driver, identified as Madueke Obiagu, was shot dead by unknown gunmen in front of his house. It was reported that the assailants shot the victim while he was fixing the battery of his Audi 80 saloon car with number plate BEN 236 XY. A version of the story stated that the victim was killed by cultists during a cult war.",2019-03-03T23:00:00.000Z,"Akugbe Street, off Santana Road, Ikpoba Hill, Benin City",1,crime,"The Punch (1 ) , Daily Trust (1 ) , Independent (1 )",Ikpoba-Okha
"Mad Man vs Fulani Herdsmen, Plateau","2 Fulani herdsmen were killed by a mad man. The cause of the death was not stated. Due to the nature of the story, it is backdated by 2 months.",2019-02-26T23:00:00.000Z,Kanam,2,crime,The Guardian (2 ),Kanam
"Banditry, Zamfara",32 persons were killed by armed bandits who invaded a community. It was reported the bandits stormed a checkpoint mounted by local vigilantes and shot them dead.,2019-02-27T23:00:00.000Z,Kware village,30,crime,"Daily Trust (32 ) , This Day (29 ) , The Nation (30 )",Shinkafi
"Fulani Herdsmen Attack, Kaduna",29 persons were murdered by Fulani herdsmen who attacked a village in the early hours of the day. It was reported that the attackers came in large number and razed the village.,2019-02-25T23:00:00.000Z,Maro village,24,"land issue, cattle grazing","Vanguard (28 ) , Other newpapers 1 (27 ) , The Nation (6 ) , Other newspaper 3 (29 ) , The Guardian (29 )",Kajuru
"Banditry, Zamfara","13 persons were killed when some armed bandits attacked a village. The bandits stormed the village on motorbikes, firing at residents. They also torched about ten vehicles, motorbikes, bicycles, shops and residential houses before they left.",2019-02-25T23:00:00.000Z,Kawaye village,16,crime,"Daily Trust (13 ) , The Nation (21 ) , This Day (14 )",Anka
"Boko Haram, Borno",Bombs from the first Alpha Jet of the Nigerian Air Force (NAF) hit the building where insurgents assembled for a meeting. It is assumed that 20 of the insurgents were killed.,2019-02-23T23:00:00.000Z,Kolloram on the fringes of Lake Chad,20,"religious issue, political issue","Nigerian Tribune (20 ) , Web Newspaper (20 )",Marte
"Army vs Boko Haram, Borno",Scores of Boko Haram terrorists (assuming at least 2 scores) were killed during an air raid. The incident happened when the Air Force conducted air strikes on terrorists enclaves.,2019-02-22T23:00:00.000Z,Zanari,40,"political issue, religious issue","Independent (40 ) , The Nation (40 )",Mobbar
